id,author,title,venue,address,publisher,editor,date,volume,pages
510,"utgoff, p. e.",an improved algorithm for incremental induction of decision trees.,"in machine learning: proc. 11th int. conf.,",,morgan kaufmann.,,1994.,,318-325.
511,"utgoff, p.e.",an improved algorithm for incremental induction of decision trees.,"in proceedings of the 10th international machine learning workshop,","rutgers university, new brunswick, nj.",,,1993.,,
512,"utgoff, p.",an improved algorithm for incremental induction of decision trees.,"proceedings of the eleventh international conference on machine learning,","rutgers university, new brunswick, nj,",morgan kaufmann.,"in cohen, w. and hirsh, h., editors,",1994.,,"pages 318-325,"
513,paul e. utgoff.,an improved algorithm for incremental induction of decision trees.,"in ml-94 ,",,,editors: william w. cohen and haym hirsh.,,,pages 318-325.
514,"p.e. utgoff,",an improved algorithm for incremental induction of decision trees.,"proceedings of the eleventh international conference on machine learning,","san francisco, ca:","morgan kaufmann,",,,,318-325.
515,"utgoff, p.",decision tree induction based on efficient tree restructuring.,,"department of computer science, university of mas-sachusetts, amherst.",,,1995.,,
516,"utgoff, p. e.","decision tree induction based on efficient tree restructuring,",,"university of massachusetts, amherst.",,,"(1995),",,
517,"utgoff, p. e.",decision tree induction based on efficient tree restructuring,,"university of massachusetts, department of computer science. amherst, ma:",,,(1995).,,
518,paul e. utgoff.,decision tree induction based on efficient tree restructuring.,,"university of massachusetts,",,,march 1995.,,
519,"ruby, d., kibler, d.",steppingstone: an empirical and analytical evaluation.,in proceedings of the ninth national conference on artificial intelligence.,"menlo park, ca:",aaai press/the mit press.,,(1991).,,
520,"ruby, d., kibler, d.",steppingstone: an empirical and analytical evaluation.,proceedings of the ninth national conference on artificial intelligence.,"los altos, ca:",morgan kaufmann.,,(1991).,,
521,"ruby, d., & kibler, d.",steppingstone: an empirical and analyt ical evaluation.,"proceedings, ninth national conference on artificial intelligence.","san mateo, ca:",aaai press.,,(1991).,,
522,"m. ahlskog, j. paloheimo, h. stubb, p. dyreklev, m. fahlman, o.",inganas and m.r.,"andersson, j appl. phys.,",,,,,"76,","893,"
523,"m. ahlskog, j. paloheimo, h. stubb, p. dyreklev, m. fahlman, o. inganas and m.r.   andersson,",,"j appl. phys.,",,,,,"76,","893,"
524,"m. ahlskog, j. paloheimo, h. stubb, p. dyreklev, m. fahlman, o. inganas and m.r. andersson,",,"journal of applied physics,",,,,,"76,","893,"
525,"b. buth, k.-h. buth, m. franzle, b. v. karger, y. lakhneche, h. langmaack, and m. muller-olm.",provably correct compiler development and implementation.,"compiler construction,",,"springer-verlag,","in u. kastens and p. pfahler, editors,",,,
526,"b. buth et. al.,","provably correct compiler implementation,","compiler construction,",,"springer verlag, lncs 641,",in u. karstens and p. pfahler (eds.),,,pp. 141-155.
527,"bettina buth, karl-heinz buth, martin franzle, burghard von karger, yassine lakhneche, hans langmaack, and markus muller-olm.",provably correct compiler development and implementation.,"compiler construction, number 641 in lecture notes in computer science,",,"springer-verlag,","in u. kastens and p. pfahler, editors,",,,pages 141-155.
528,"craven, m. w. & shavlik, j. w.","learning symbolic rules using artificial neural networks,","""proceedings of the tenth international conference on machine learning"",",,"morgan kaufmann,","in p. utgoff, ed.,","(1993),",,pp. 73-80.
529,mark w. craven and jude w. shavlik.,learning symbolic rules using artificial neural networks.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,
530,m. w. craven and j. w. shavlik.,learning symbolic rules using artificial neural networks.,"proceedings of the tenth international conference on machine learning,",,morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,
531,"a. mehra, z. wang, and k. shin.",self-parameterizing protocol stacks for guaranteed quality of service.,,,,,,,
532,"a. mehra, z. wang, and k. shin,","""self-parameterizing protocol stacks for guaranteed quality of service,""",,,,,,,
533,"utgoff, p. e., & clouse, j. a.","a kolmogorov-smirnoff metric for decision tree induction,",,"department of computer science. amherst, ma: university of massachusetts,",,,(1996).,,
534,"utgoff, p.e. and clouse j.a.","a kolmogorov-smirnoff metric for decision tree induction,",,"university of massachusetts, department of computer science, amherst, ma.",,,"(1996),",,
535,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s dzroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michal-ski, t. mitchell, p. pachowicz, y. reich h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorihms.,,"carnegie mellon university,",,,,,
536,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski ands.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de weldel, w. wenzel, j. wnek, and j. zhang.",the monk's problems: a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
537,"thrun, s.b., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., dzerowski, s., fahlman, s.e., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r.s., mitchell, t., pachowicz, p., vafaie, h., van de velde, w., wenzel, w., wnek, j., and zhang, j.,","the monks problems: a performance comparison of different learning algorithms,",,"carnegie mellon university, pittsburgh, pa,",,,,,
538,"fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michal-ski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
539,"thrun, s., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., dzeroski, s., fahlman, s., fisher, d., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r., mitchell, t., pachowicz, p., reich, y., vafaie, h., van de welde, w., wenzel, w., wnek, j., & zhang, j.",the monk's problem: a performance comparison of different learning algorithms.,,"pittsburgh, pa: carnegie mellon.",,,,,
540,"thrun, s.; bala, j.; bloedorn, e.; bratko, i.; cestnik, b.; cheng, j.; de jong, k.; dzeroski, s.; fahlman, s.; fisher, d.; hamann, r.; kaufman, k.; keller, s.; kononenko, i.; kreuziger, j.; michalski, r.; mitchell, t.; pachowicz, p.; reich, y.; vafaie, h.; de weldel, w. v.; wenzel, w.; wnek, j.; and zhang, j.",the monk's problems: a performance comparison of different learning algorithms.,,carnegie mellon university.,,,,,
541,"thrun, s.b., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k.a., dzeroski, s., fahlman, s.e., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r.s., mitchell, t., pachowicz, p., vafaie, h., van de velde, w., wenzel, w., wnek, j. and zhang, j.,","""the monk's problems: a performance comparison of different learning algorithms,""","computer science reports,","cmu-cs-91-197, carnegie mellon university, pittsburgh, pa,",,,,,
542,"thrun, s.b., bala, j., bloedorn, e., bratko, i., cestnink, b., cheng, j., dejong, k.a., dzeroski, s., fahlman, s.e., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r.s., mitchell, t., pachowicz, p., vafaie, h., van de velde, w., wenzel, w., wnek, j. and zhang, j.,","""the monk's problems: a performance comparison of different learning algorithms,""",,"carnegie mellon university,",,,,,
543,"s. b. thrun, j. bala, e. bloendorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. d^zeroski, s. e. fahlman, d. fisher, r. hamann, k. kauf-man, s. keller, i. kononenko, j. kreuziger, r. s. michalski, t. mitchell, p. pachovicz, y. re-ich, h. vafaie, w. van de welde, w. wentzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie-mellon university., usa,",,,,,
544,"s. b. thrun, j. bala, e. bloendorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. d^zeroski, s. e. fahlman, d. fisher, r. hamann, k. kauf-man, s. keller, i. kononenko, j. kreuziger, r. s. michalski, t. mitchell, p. pachovicz, y. re-ich, h. vafaie, w. van de welde, w. wentzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie-mellon university., pittsburgh, pa - usa,",,,,,
545,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s dzroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. re-ich h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorihms.,,"carnegie mellon university,",,,,,
546,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang,",the monk's problems a performance comparison of different learning algorithms.,,"cmu-cd-91-197, carnegie mellon university,",,,,,
547,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de weldel, w. wenzel, j. wnek, and j. zhang.",the monk's problems: a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
548,"sebastian b. thrun, jerzy bala, eric bloedorn, ivan bratko, bojan cestnik, john cheng, kenneth de jong, saso dzeroski, douglas fisher, scott e. fahlman, rainer hamann, kenneth kaufman, stefan keller, igor kononenko, juergen kreuziger, ryszard s. michalski, tom mitchell, peter pachowicz, yoram reich, haleh vafaie, walter van de welde, walter wenzel, janusz wnek, and jianping zhang.",the monk's problems a performance comparison of different learning algorithms.,,"carnegie mellon university, pittsburgh, pa,",,,,,
549,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang,",the monk's problems a performance comparison of different learning algorithms.,,"department of computer science, carnegie mellon university, pittsburgh, pa,",,,,,
550,"thrun, s., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., dzeroski, s., fisher, d., fahlman, s., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r., mitchell, t., pachowicz, p., reich, y., vafaie, h., van de welde, w., wenzel, w., wnek, j. and zhang, j.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie-mellon university.",,,,,
551,"s. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, d. fisher, s. e. fahlman, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r. s. michalski, t.m. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorithms.,,"carnegie mellon university, pittsburgh, pa,",,,,,
552,"thrun. s.b., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k.a., dzeroski, s., fahlman, s.e., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r.s., mitchell, t., pachowicz, p., vafaie, h., van de velde, w., wenzel, w., wnek, j., and zhang, j.,","the monks problems: a performance comparison of different learning algorithms,",,"carnegie mellon university, pittsburgh, pa,",,,,,
553,"s. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie mellon university,",,,,,
554,"s.b. thrun, j. bala, e. bloedorn, b. cheng i. bratko, s. dzeroski k. de-jong, s. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, k. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problem: a performance comparison of different learning algorithms.,,"carnegie mellon university cmu-cs-91-197,",,,,,
555,"thrun, s., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., dzeroski, s., fisher, d., fahlman, s., hamann, r., kaufman, k., 8 keller, s., kononenko, i., kreuziger, j., michalski, r., mitchell, t., pa--chowicz, p., reich, y., vafaie, h., van de welde, w., wenzel, w., wnek, j. and zhang, j.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie-mellon university.",,,,,
556,"s. b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dze-roski, s. e. fahlman, d. fisher, r. hamann, k. kaufaman, s. keller, i. kononenko, j. kreusiger, r. s. michalski, t. mitchell, p. pachowitz, y. reich, h. vafaic, w. van de weldel, w. wenzel, j. wnek, and j. zhang.",the monk's problems: a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
557,"thrun, s., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., dzeroski, s., fisher, d., fahlman, s., hamann, r., kaufman, k., keller, s., kononenko, i., kreuziger, j., michalski, r., mitchell, t., pa-chowicz, p., reich, y., vafaie, h., van de welde, w., wenzel, w., wnek, j. and zhang, j.",the monk's problems a performance comparison of different learning algorithms.,,"school of computer science, carnegie-mellon university.",,,,,
558,"s. b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s. e. fahlman, d. fisher, r. hamann, k. kaufaman, s. keller, i. kononenko, j. kreusiger, r. s. michalski, t. mitchell, p. pachowitz, y. reich, h. vafaic, w. van de weldel, w. wenzel, j. wnek, and j. zhang.",the monk's problems: a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
559,"thrun, s. b., bala, j., bloedorn, e., bratko, i., cestnik, b., cheng, j., de jong, k., d zeroski, s., fahlman, s. e., fisher, d., hamann, r., kauf-man, k., keller, s., kononenko, i., kreuziger, j., michalski, r. s., mitchell, t., pachowicz, p., reich, y., vafaie, h., van de velde, w., wenzel, w., wnek, j., and zhang, j.",the monk's problems: a performance comparison of different learning algorithms.,,carnegie mellon university.,,,,,
560,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kauf-man, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang,","the monk's problems a performance comparison of different learning algorithms,",,"carnegie mellon university,",,,,,
561,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowicz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang,",the monk's problems a performance comparison of different learning algorithms.,,"carnegie mellon university,",,,,,
562,"s.b. thrun, j. bala, e. bloedorn, i. bratko, b. cestnik, j. cheng, k. de jong, s. dzeroski, s.e. fahlman, d. fisher, r. hamann, k. kaufman, s. keller, i. kononenko, j. kreuziger, r.s. michalski, t. mitchell, p. pachowitz, y. reich, h. vafaie, w. van de welde, w. wenzel, j. wnek, and j. zhang.",the monk's problems: a performance comparison of differ-ent learning algorithms.,,"carnegie mellon university,",,,,,
563,p.e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,(4),":161-186,"
564,paul e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,4,":161 - 186,"
565,p. utgoff,. incremental induction of decision trees.,machine learning.,,,,(1989),"vol.4,",161-186.
566,utgoff p. e.,"incremental induction of decision trees,","machine learning,",,,,(1989).,4,161-186.
567,"utgoff, p.",incremental induction of decision trees.,"machine learning,",,,,(1989).,4(2),161-186.
568,"utgoff, p.",incremental induction of decision trees.,"machine learning,",,,,(1989).,"4,",161-186.
569,"utgoff, p. e.",incremental induction of decision trees.,"machine learning,",,,,(1989a).,"4,",161-186.
570,"utgoff, p. e.",incremental induction of decision trees.,"machine learning,",,,,(1989b).,"4,",161-186.
571,"utgoff, p. e.",incremental induction of decision trees.,machine learning,,,,1989.,4(2),161-186.
572,"utgoff, p.,",incremental induction of decision trees.,"machine learning 4,",,,,1989.,,161-186.
573,"utgoff, p.e.",(1989) incremental induction of decision trees.,machine learning,,,,,"4(2),",pp. 161-186.
574,"utgoff, p.e.",incremental induction of decision trees.,machine learning,,,,(1989),4:,161-186.
575,"utgoff, p.e.","incremental decision tress. machine learning,",,pp.161-186.,,,(1989).,,
576,p. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,4(2),"161-186,"
577,p.e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,,(4):,"161-186,"
578,p.e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,4(2),"161-186,"
579,p. e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,"4,",
580,paul e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,4,"161-186,"
581,p. e. utgoff.,incremental induction of decision trees.,"machine learning,",,,,1989.,4,"161-186,"
582,utgoff p.e.:,"incremental learning of decision trees.,",machine learning,,,,1989,4,"161-186,"
583,"p.e. utgoff,",incremental induction of decision trees.,"machine learning,",,,,,"4,",161-186.
584,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representa tions.,"connection science,",,,,(1989).,"1,",377-391.
585,p. e. utgoff.,perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,1989.,1,"377-391,"
586,"utgoff, p.",perceptron trees: a case study in hybrid concept representations.,proceedings of the seventh national conference on artificial intelligence,"boston, ma:",,,(1988).,,(pp. 601-606).
587,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,proceedings of the seventh national conference on artificial intelligence,"st. paul, mn:",morgan kaufmann.,,(1988).,,(pp. 601-606).
588,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,"proceedings of the seventh national conference on artificial intelligence,",,,,(1988).,,pages 601-606.
589,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representations.,in proceedings of the seventh national conference on artificial intelligence,"st. paul, mn:",morgan kaufmann.,,(1988b).,,(pp. 601-606).
590,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representation.,"in aaai-88 proceedings of the seventh national conference on artificial intelligence,","san mateo, ca:",morgan kaufmann.,,1988.,,601-6.
591,"utgoff, p. e.",perceptron trees: a case study in hybrid concept representation.,"in proceedings of the seventh national conference on artificial intelligence,",,morgan kaufmann.,,1988.,,601-606.
592,paul. e. utgoff.,perceptron trees: a case study in hybrid concept representations.,"connection science,",,,,1990.,"1(4),",
593,paul e. utgoff.,perceptron trees: a case study in hybrid concept representation.,"in proceedings of the seventh national conference on artificial intelligence,",,"morgan kaufmann,",,1988.,,pages 601-606.
594,"utgoff, p. e., & saxena, s.",learning a preference predicate.,proceedings of the fourth international workshop on machine learning,"irvine, ca:",morgan kauf-mann.,,(1987).,,(pp. 115-121).
595,"utgoff, p., and saxena, s.",learning a preference predicate.,"in proceedings of the fourth international workshop on machine learning,",,,,1987.,,115-121.
596,"p. utgoff and s. saxena,","""learning a preference predicate,""","proceedings of the 4th international conference on machine learning,",,,,1987.,,"pp. 115-121,"
597,"utgoff, p. and saxena, s.",learning a preference predicate.,"in proceedings of the fourth international workshop on machine learning,",,,,(1987).,,pages 115-121.
598,"kibler, d. & aha, d. w.",learning representative exemplars of concepts: an initial case study.,proceedings of the fourth international workshop on machine learning,"irvine, ca:",morgan kaufmann.,,(1987).,,(pp. 24-30).
599,"kibler, d., & aha, d. w.",learning representative exemplars of concepts: an initial case study.,in proceedings of the fourth international workshop on machine learning,"irvine, ca:",morgan kaufmann.,,(1987).,,(pp.24-30.
600,"kibler, d., and aha, d.",learning representative exemplars of concepts: an initial case study.,"in proceedings of the 4th international workshop on machine learning,",,,,1987.,,24-30.
601,"kibler, d., and aha, d. w.",learning representative exemplars of concepts: an initial case study.,in proceedings of the fourth international workshop on machine learning.,"irvine, ca:","morgan kaufmann,",,(1987).,,24-30.
602,"kibler, d., and aha david w.",learning representative exemplars of concepts: an initial case study.,"proceedings of the fourth international workshop on machine learning,","irvine, ca:","morgan kaufmann,",,(1987).,,pp. 24-30.
603,"kibler, d., and david w. aha,",learning representative exemplars of concepts: an initial case study.,proceedings of the fourth international workshop on machine learning.,"irvine, ca:","morgan kaufmann,",,(1987).,,pp. 24-30.
604,d. kibler and d. w. aha.,learning representative exemplars of concepts: an initial case study.,"proc. 4th international workshop on machine learning,","ca,","kaufmann,","in p. langley, editor,",1987.,,
605,d. kibler and d. aha.,learning representative exemplars of concepts: an initial case study.,"proceedings of the fourth international workshop on machine learning,",los altos:,"morgan kaufmann,","in pat langley, editor,",1987.,,pages 24-30.
606,d. kibler and d. aha.,learning representative exemplars of concepts: an initial case study.,"in proc. of the 4 th international workshop on machine learning,","irvine, ca,",,,1987.,,"pages 24-30,"
607,"kibler, d., and aha, d.w.",learning representative exemplars of concepts: an initial case study.,"in proceedings of the fourth international workshop on machine learning,",,,,"1987,",,24-30.
608,d. kibler and d. aha.,learning representative examplars of concepts; an initial study.,"in proceedings of the fourth international workshop on machine learning,",,,,1987.,,"pages 24-29,"
609,dennis kibler and david w. aha.,learning representative exemplars of concepts: an initial case study.,"proceedings of the fourth international workshop on machine learning,","los altos, california,","morgan kaufmann,","in pat langley, editor,",1987.,,pages 24-30.
610,"d. kibler and d. w. aha,","""learning representative exemplars of concepts: an initial case study,""","proceedings of the fourth international workshop on machine learning,","irvine, ca,",,,"june 1987,",,pp. 24-30.
611,"aha, d. and kibler, d.",learning representative exemplars of concepts: an initial case study.,"in proceedings of the fourth international conference on machine learning,","u. c. irvine,  ca,",morgan kaufmann.,,1987.,,"pages 24-30,"
612,d. kibler and d. w. aha.,learning representative exemplars of concepts: an initial case study.,"in proceedings of the fourth international workshop on machine learning,","irvine, ca,",morgan kaufmann.,,1987.,,"pages 24-30,"
613,"d. kibler and d.w. aha,",learning representative examples of concepts: an initial case study.,"proceedings of the fourth international workshop on machine learning,","irvine, ca:","morgan kaufmann,",,,,24-30.
614,dennis kibler and david w. aha.,"learning representative exemplars of concepts: an initial case study. in p. langley, editor,","proc. 4th international workshop on machine learning,","ca,","kaufmann,",,1987.,,
615,"kibler, d. and aha, d.",learning representative exemplars of concepts: an initial case study.,"in proc. of the 4 th international workshop on machine learning,","irvine, ca.",,,(1987).,,"pages 24-30,"
616,dennis kibler and david w. aha.,learning representative exemplars of concepts: an initial case study.,"in proceedings of the 4 th international workshop on machine learning,","irvine, ca,",,,1987.,,
617,"fahlman, s.e.",the recurrent cascade-correlation architecture.,,"school of computer science, carneige mellon university, pittsburgh.",,,,,
618,"scott e. fahlman,","""the recurrent cascade-correlation architecture,""",,"dept. of computer science, carnegie mellon university,",,,,,
619,"fahlman, s. e.",the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, ca:",morgan kaufmann.,"in lippmann, r. p., moody, j. e., and touretzky, d. s., editors,",,"3,",190-205.
620,"fahlman, s. e.",the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, california:",morgan kaufmann publishers.,"in lippmann, r. p., moody, j. e., and touretzky, d. s., editors,",,"3,",pages 190-196.
621,"fahlman, s. e.",the recurrent cascade-correlation learning algorithm.,advances in neural information processing systems,"san mateo, ca:",morgan kaufmann.,"in lippmann, r. p., moody, j. e., and touretzky, d. s., editors,",,"3,",pages 190-196.
622,"fahlman, s. e.",the recurrent cascade-correlation learning algorithm.,"nips 3,","san mateo, ca:",morgan kaufmann.,"in lippmann, r. p., moody, j. e., and touretzky, d. s., editors,",,,pages 190-196.
623,"fahlmann, s.e.(1990).",the recurrent cascade-correlation architecture.,"inadvances in neural information processing systgems,",,,,,,pp.380-387.
624,scott e. fahlman.,the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, california,",morgan kaufmann publishers.,"in r. p. lipp-mann, j. e. moody, and d. s. touretzky, editors,",,"3,","pages 190-196,"
625,s. fahlman.,the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, california,","morgan kaufmann publishers, inc.,","in r. lippmann, j. moody, and d. touretzky, editors,",,"3,",pages 190-196.
626,scott e. fahlman.,the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, california,",morgan kaufmann publishers.,"in r. p. lippmann, j. e. moody, and d. s. touretzky, editors,",,"3,","pages 190-196,"
627,"s. fahlman,","""the recurrent cascade-correlation architecture,""",in advances in neural information processing systems,"(san mateo, ca),","morgan kaufmann publishers,","r.p.lippmann, j. moody, and d. touretzky, eds.),",,3,"pp. 190-196,"
628,s. fahlman.,the recurrent cascade-correlation architecture.,advances in neural information processing systems,"san mateo, ca,","morgan kaufmann,","in r. lippmann, j. moody, and d. touretzky, editors,",,"3,",pages 190 196.
629,"fahlman, scott e.,","""the recurrent cascade-correlation architecture"",",in advances in neural information processing systems,,morgan kaufman,,,"3,",
630,"s. fahlman,","""the recurrent cascade-correlation architecture,""",in advances in neural information pro--cessing systems,"(san mateo, ca),","morgan kaufmann publishers,","r. lippmann, j. moody, and d. touretzky, eds.",,3,"pp. 190-196,"
631,"mitchell, t. and thrun, s.,","""explanation-based learning: a comparison of symbolic and neural network approaches."",","in proceedings of the tenth international conference on machine learning,","san mateo, ca,","morgan kaufmann,","p. utgoff (ed.),","(1993),",,
632,tom m. mitchell and sebastian thrun.,explanation based learning: a comparison of symbolic and neural network approaches.,"proceedings of the tenth international conference on machine learning,","san mateo, ca,",morgan kaufmann.,"in paul e. utgoff, editor,",1993.,,"pages 197-204,"
633,"aha, d. & kibler, d.",noise-tolerant instance based leanring algorithms.,proc. ijcai-89,,,,(1989).,,pp. 794 799).
634,"aha, d. & kibler, d.",noise-tolerant instance-based leanring algorithms.,proc. ijcai-89,,,,(1989).,,pp.794-799).
635,"aha, d. & kibler, d.",noise-tolerant instance-based learning algorithms.,proc. ijcai-89,,,,(1989).,,pp.794-799).
636,"aha, d. w. & kibler d.",noise-tolerant instance-based learning algorithms.,"in proceedings of the eleventh international joint conference on artificial intelligence (ijcai-89),","los altos, ca,",morgan kaufmann.,,(1989).,,pp. 794-799.
637,"aha, d. w. and kibler, d.",noise-tolerant instance-based learning algorithms.,"in eleventh international joint conference on artificial intelligence,","san mateo, ca.","morgan kaufmann,",,(1989).,,pages 794-799.
638,"aha, d. w., & kibler, d.",noise-tolerant instance-based learning algorithms.,in proceedings of the 1989 international joint conference on artificial intelligence.,"san mateo, ca:",morgan kaufmann.,,(1989).,,
639,"aha, d. w., & kibler, d.",noise-tolerant instance-based learning algorithms.,in proceedings of the eleventh international joint conference on artificial intelligence,"detroit, mi:",morgan kaufmann.,,(1989).,,(pp. 794-799).
640,"aha, d. w., & kibler, d.",noise-tolerant instance-based learning algorithms.,proceedings of the eleventh international joint conference on artificial intelligence,"detroit, michigan:",morgan kaufmann.,,(1989).,,(pp. 794-799).
641,"aha, d. and kibler, d.",noise-tolerant instace-based learning algorithms.,proceedings of the eleventh international joint conference on 39 artificial intelligence,"detroit, mi:",morgan kaufmann.,,(1989),,(pp. 794-799).
642,"aha, d., & kibler, d.",noise tolerant instance-based learning algorithms.,"proceedings of the eleventh international joint conference on artificial intelligence,","detroit, mi:",morgan kaufmann.,,(1989).,,
